facility_id,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
40062,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
40067,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
40069,0015CX112ZVK0ZX,Y,1/1/2023,12/31/2023
40071,0015C1SM0B8G4AU,Y,1/1/2023,12/31/2023
40072,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40076,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40078,0015CXU35TXJ82Q,Y,1/1/2023,12/31/2023
40084,0015CX1FLT3QKM3,Y,1/1/2023,12/31/2023
40088,0015CR8535UDY24,Y,1/1/2023,12/31/2023
40114,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40118,0015C5HKP92HQ7U,Y,1/1/2023,12/31/2023
40119,0015C5CRE80MBV4,Y,1/1/2023,12/31/2023
40132,,,1/1/2023,12/31/2023
40134,0015C5KQA8EDE40,Y,1/1/2023,12/31/2023
40137,0015CU2LP5KVN3H,Y,1/1/2023,12/31/2023
40147,0015CK8XP6T01K8,Y,1/1/2023,12/31/2023
40153,0015C28CYJ5LLF4,Y,1/1/2023,12/31/2023
40154,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40156,0015C5HKP92HQ7U,Y,1/1/2023,12/31/2023
40161,0015C5KQA8EDE40,Y,1/1/2023,12/31/2023
40164,,,1/1/2023,12/31/2023
41300,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
41302,0015C7KPC5GW1G3,Y,1/1/2023,12/31/2023
41303,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
41305,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
41306,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41307,0015CUB5R65YGA6,Y,1/1/2023,12/31/2023
41308,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41309,0015CUB5R65YGA6,Y,1/1/2023,12/31/2023
41310,0015C5CRE80MBV4,Y,1/1/2023,12/31/2023
41311,0015CRS51LEA95Z,Y,1/1/2023,12/31/2023
41312,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
41313,0015C7URE9RTG1U,Y,1/1/2023,12/31/2023
41317,,,1/1/2023,12/31/2023
41318,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
41320,0015CT0PPT32RH0,Y,1/1/2023,12/31/2023
41321,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
41322,,,1/1/2023,12/31/2023
41323,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
41324,0015CU2LP5KVN3H,Y,1/1/2023,12/31/2023
41326,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41327,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41328,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41329,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
41330,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
41331,0015CP587BP0W9H,Y,1/1/2023,12/31/2023
41332,,,1/1/2023,12/31/2023
41333,,,1/1/2023,12/31/2023
43300,,,1/1/2023,12/31/2023
43301,,,1/1/2023,12/31/2023
50002,0015CE4ZXJ0FKT5,Y,1/1/2023,12/31/2023
50006,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50007,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50008,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50009,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50013,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50014,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50017,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50022,0015C622YQ4JDC3,Y,1/1/2023,12/31/2023
50024,0015CPN9PSL792F,Y,1/1/2023,12/31/2023
50025,0015C8243MFV3V7,Y,1/1/2023,12/31/2023
50026,0015C4M8199HQD9,Y,1/1/2023,12/31/2023
50028,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
50030,0015CUM4DML93MD,Y,1/1/2023,12/31/2023
50036,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50038,0015C8XCN16R6V5,Y,1/1/2023,12/31/2023
50039,0015CHL24QZ8GAF,Y,1/1/2023,12/31/2023
50040,0015CGA18HTL43R,Y,1/1/2023,12/31/2023
50042,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50043,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50045,,,1/1/2023,12/31/2023
50047,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50054,0015CG8HB6AJX7E,Y,1/1/2023,12/31/2023
50055,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50056,0015CKD4R73KP61,Y,1/1/2023,12/31/2023
50057,0015CQB8ZM93KD6,Y,1/1/2023,12/31/2023
50058,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50060,0015CYT94LS81XV,Y,1/1/2023,12/31/2023
50063,,,1/1/2023,12/31/2023
50067,0015CXV6SXC82UZ,,1/1/2023,12/31/2023
50069,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50070,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50071,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50072,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50073,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50075,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50076,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50077,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50078,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50082,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50084,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50089,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50090,0015CVU25PD3Q5Q,Y,1/1/2023,12/31/2023
50091,0015CQZ3GL3N8TR,Y,1/1/2023,12/31/2023
50093,0015C8XCN16R6V5,Y,1/1/2023,12/31/2023
50099,0015CP0A87E25HC,Y,1/1/2023,12/31/2023
50100,0015C4M8199HQD9,Y,1/1/2023,12/31/2023
50101,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50102,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
50103,0015CRK3JSF2G8R,Y,1/1/2023,12/31/2023
50104,0015C4H2WUK0S3A,Y,1/1/2023,12/31/2023
50107,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50108,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50110,0015CW4VMW3NMY3,Y,1/1/2023,12/31/2023
50112,0015C92F81YS48A,Y,1/1/2023,12/31/2023
50113,,,1/1/2023,12/31/2023
50115,0015CYU98BFS719,Y,1/1/2023,12/31/2023
50116,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50118,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
50121,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50122,,,1/1/2023,12/31/2023
50124,0015CXJ3MV2DVH6,Y,1/1/2023,12/31/2023
50125,0015C622YQ4JDC3,Y,1/1/2023,12/31/2023
50126,0015CPP8ZGY624Z,Y,1/1/2023,12/31/2023
50127,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50128,0015C80E18RAW4X,Y,1/1/2023,12/31/2023
50129,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50131,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50132,0015C7URE9RTG1U,Y,1/1/2023,12/31/2023
50133,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50135,,,1/1/2023,12/31/2023
50136,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50137,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50138,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50139,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50140,0015CBA2R7RYM5R,Y,1/1/2023,12/31/2023
50145,0015CUE5T17SNJ9,Y,1/1/2023,12/31/2023
50149,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50150,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50152,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50158,0015CPN9PSL792F,Y,1/1/2023,12/31/2023
50159,0015CR6KGA17TUT,Y,1/1/2023,12/31/2023
50167,0015C80E18RAW4X,Y,1/1/2023,12/31/2023
50168,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50169,0015CF2C9MW8EHH,Y,1/1/2023,12/31/2023
50174,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50179,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
50180,0015CYR9MTS49QR,Y,1/1/2023,12/31/2023
50191,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50192,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50194,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
50195,0015CW3NXQ9AG42,Y,1/1/2023,12/31/2023
50197,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50204,0015CQC4AND9RQT,Y,1/1/2023,12/31/2023
50211,0015C4H2WUK0S3A,Y,1/1/2023,12/31/2023
50222,0015C4M8199HQD9,Y,1/1/2023,12/31/2023
50224,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50226,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
50228,0015C72L3UBY0KL,Y,1/1/2023,12/31/2023
50230,0015C4H2WUK0S3A,Y,1/1/2023,12/31/2023
50231,0015CP0A87E25HC,Y,1/1/2023,12/31/2023
50232,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50234,0015C4M8199HQD9,Y,1/1/2023,12/31/2023
50235,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50236,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50238,0015CW4VMW3NMY3,Y,1/1/2023,12/31/2023
50239,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50242,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50243,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
50245,0015CWW3R9FPD02,Y,1/1/2023,12/31/2023
50248,0015C251KQF9595,Y,1/1/2023,12/31/2023
50254,0015CVZ8NZE0N5M,Y,1/1/2023,12/31/2023
50257,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
50261,0015CUQ8L4S9DNQ,Y,1/1/2023,12/31/2023
50262,0015C92F81YS48A,Y,1/1/2023,12/31/2023
50272,,,1/1/2023,12/31/2023
50276,0015C72L3UBY0KL,,1/1/2023,12/31/2023
50278,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50279,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
50280,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50281,0015C946ANU9N81,Y,1/1/2023,12/31/2023
50283,0015CHL24QZ8GAF,Y,1/1/2023,12/31/2023
50289,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
50290,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50291,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50292,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50295,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
50298,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
50300,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
50301,0015C157LEG45RH,Y,1/1/2023,12/31/2023
50305,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50308,0015C4GFY7U33W6,Y,1/1/2023,12/31/2023
50309,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50313,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
50315,0015C5LFV335W0K,Y,1/1/2023,12/31/2023
50320,0015C4H2WUK0S3A,Y,1/1/2023,12/31/2023
